Location,lng,lat,sum_vehicle
BEVERLEY ST AT COLLEGE ST & ST GEORGE ST (PX 827),-79.395902,43.6587,5394
BEVERLEY ST AT D ARCY ST,-79.39428047,43.65480306,2462
BEVERLEY ST AT DUNDAS ST (PX 266),-79.393859,43.653823,3417
BISHOP TUTU BLVD AT QUEENS QUAY W,-79.39921854,43.63525189,594
BLACKBURN ST AT GERRARD ST & ST MATTHEWS RD (PX 2274),-79.355293,43.664781,2518
BLEECKER ST AT HOWARD ST AND REDROCKET LANE,-79.37542104,43.67127961,934
BLOOR ST AT 78M W OF ST THOMAS ST (PX 1955),-79.39189001,43.6692,4702
BLOOR ST AT BRUNSWICK AVE (PX 509),-79.407473,43.665914,7885
BLOOR ST AT CASTLE FRANK CRES,-79.36883358,43.67333064,7819
BLOOR ST AT PARK RD,-79.38420956,43.67080443,2883
BLOOR ST AT ROBERT ST & WALMER RD (PX 2083),-79.405354,43.666358,8066
BLOOR ST AT SPADINA AVE & SPADINA RD (PX 281),-79.40386999,43.666657,23139
BLOOR ST AT ST GEORGE ST (PX 271),-79.399836,43.667516,9676
BLOOR ST AT TED ROGERS WAY (PX 14),-79.380566,43.67161,22000
BLOOR ST AT YONGE ST (PX 40),-79.38678799,43.670226,28287
BLOOR ST E AT CASTLE FRANK RD (PX 295),-79.36820401,43.673775,42409
BLOOR ST E AT CHURCH ST (PX 25),-79.38316,43.671046,29942
BLOOR ST E AT HUNTLEY ST (PX 2026),-79.379068,43.671915,13079
BLOOR ST E AT PARLIAMENT ST (PX 252),-79.370697,43.672009,24353
BLOOR ST E AT SHERBOURNE ST (PX 262),-79.376854,43.672358,18681
BLOOR ST W AT HURON ST (PX 1401),-79.401538,43.667161,6710
BLUE JAYS WAY AT FRONT ST W (PX 1580),-79.39128501,43.643421,8868
BLUE JAYS WAY AT KING ST & PETER ST (PX 1152),-79.392328,43.646054,6330
BLUE JAYS WAY AT NAVY WHARF CRT,-79.39190442,43.64164425,3712
BLUE JAYS WAY AT WELLINGTON ST (PX 1682),-79.391794,43.644748,6598
BOND ST AT DUNDAS ST E,-79.3783173,43.6562626,2345
BORDEN ST AT COLLEGE ST (PX 1154),-79.405228,43.656979,5485
BOWMAN ST AT CARLTON ST,-79.36383966,43.66540725,180
BRANT ST AT KING ST,-79.39764708,43.64495461,3930
BRANT ST AT RICHMOND ST (PX 2023),-79.398656,43.647474,1073
BREMNER BLVD AT NAVY WHARF CRT (PX 2096),-79.391495,43.640746,2822
BREMNER BLVD AT REES ST,-79.38762275,43.64085637,7815
BREMNER BLVD AT SPADINA AVE AND FORT YORK BLVD (PX 1579),-79.393004,43.640562,26664
BREMNER BLVD AT VAN DE WATER CRES EAST LEG (PX 1990),-79.388922,43.640414,1821
BREMNER BLVD AT YORK ST (PX 1755),-79.381475,43.642912,15572
BRUNSWICK AVE AT HARBORD ST (PX 834),-79.406037,43.66226,4467
CARLTON ST AT 108M W OF CHURCH ST & MAPLE LEAF GDNS (PX 2035),-79.3807,43.6616,7588
CARLTON ST AT CHURCH ST (PX 23),-79.379374,43.661875,19978
CARLTON ST AT COLLEGE ST & YONGE ST (PX 38),-79.38311,43.661371,6492
CARLTON ST AT HOMEWOOD AVE,-79.37434927,43.66291663,2195
CARLTON ST AT JARVIS ST (PX 10),-79.376716,43.662418,27724
CARLTON ST AT ONTARIO ST (PX 1992),-79.37051999,43.663722,1593
CARLTON ST AT PARLIAMENT ST (PX 250),-79.367981,43.664285,6983
CARLTON ST AT SHERBOURNE ST (PX 260),-79.373061,43.66319,8201
CECIL ST AT HURON ST,-79.39747431,43.65650634,510
CECIL ST AT ROSS ST,-79.39632115,43.65672427,240
CECIL ST AT SPADINA AVE,-79.39931561,43.6561021,1168
CHARLES ST AT QUEENS PARK CR,-79.3935262,43.66726507,9809
CHARLES ST E AT CHURCH ST (PX 225),-79.382493,43.66941,3374
CHARLES ST E AT JARVIS ST & MOUNT PLEASANT RD (PX 13),-79.37990499,43.669973,26140
CHARLES ST E AT YONGE ST (PX 921),-79.386113,43.66863,6305
CHARLES ST W AT YONGE ST,-79.38616027,43.66874228,928
CHERRY ST AT FG GARDINER UNDERPASS,-79.356095,43.649125,4723
CHERRY ST AT FRONT ST E (PX 2245),-79.35799099,43.652658,2388
CHERRY ST AT MILL ST (PX 2246),-79.357392,43.651329,2913
CHESTNUT ST AT DUNDAS ST (PX 483),-79.38606,43.65524,5649
CHURCH ST AT DUNDAS ST E (PX 21),-79.37714801,43.656501,5978
CHURCH ST AT FRONT ST E & WELLINGTON ST E (PX 15),-79.373786,43.648442,10241
CHURCH ST AT GERRARD ST (PX 22),-79.378535,43.659857,12073
CHURCH ST AT GLOUCESTER ST,-79.38163829,43.66737299,4372
CHURCH ST AT GOULD ST (PX 993),-79.377855,43.658211,4216
CHURCH ST AT HAYDEN ST,-79.38281083,43.67016027,4438
CHURCH ST AT ISABELLA ST (PX 572),-79.38205599,43.668348,5389
CHURCH ST AT KING ST (PX 16),-79.374412,43.649921,3604
CHURCH ST AT LOMBARD ST,-79.37520361,43.65180644,2345
CHURCH ST AT MAITLAND ST (PX 2016),-79.38052,43.664647,2518
CHURCH ST AT MCGILL ST,-79.37887343,43.66067092,1986
